Name,CAS No.,Formula,boiling point (K),data_source
BROMINE,7726-95-6,Br2,,DIPPR
CHLORINE,7782-50-5,Cl2,,DIPPR
CHLOROSULFONIC ACID,7790-94-5,ClHO3S,,DIPPR
HYDROGEN PEROXIDE,7722-84-1,H2O2,,DIPPR
HYPOPHOSPHOROUS ACID,6303-21-5,H3O2P,,DIPPR
IODINE,7553-56-2,I2,,DIPPR
NITROGEN TETROXIDE,10544-72-6,N2O4,,DIPPR
NITROGEN TRICHLORIDE,10025-85-1,Cl3N,,DIPPR
PERCHLORIC ACID,7601-90-3,ClHO4,,DIPPR
PHOSPHOROUS ACID,13598-36-2,H3O3P,,DIPPR
PHOSPHORUS OXYCHLORIDE,10025-87-3,Cl3OP,,DIPPR
PHOSPHORUS PENTACHLORIDE,10026-13-8,Cl5P,,DIPPR
PHOSPHORUS THIOCHLORIDE,3982-91-0,Cl3PS,,DIPPR
PHOSPHORUS TRICHLORIDE,02/12/7719,Cl3P,,DIPPR
SULFUR DICHLORIDE,10545-99-0,Cl2S,,DIPPR
SULFURIC ACID,7664-93-9,H2O4S,,DIPPR
dioxo-lambda4-sulfane,7446-09-0500:00:00,O2S,263.132,NIST
D-FRUCTOSE,7660-25-5,C6H12O6,,DIPPR
D-MANNOSE,7296-15-3,C6H12O6,,DIPPR
benzene-d6,'1076-43-3,C6H6,351.364,NIST
dimethylamine-d7,'22024-52-8,C2H7N,279.569,NIST
o-xylene-d10,'56004-61-6,C8H10,415.65,NIST
octane-d18,'17252-77-6,C8H18,396.079,NIST
"1H-1,2,4-triazole",'288-88-0,C2H3N3,515.289,NIST
"2,2'-azobis(isobutyronitrile)",'78-67-1,C8H12N4,377.973,NIST
"3-amino-5-mercapto-1,2,4-triazole",'16691-43-3,C2H4N4S,638.936,NIST
"4H-1,2,4-triazole-3,4,5-triamine",'473-96-1,C2H6N6,690.824,NIST
5-methyl-1H-tetrazol-1-amine,'56601-89-9,C2H5N5,606.827,NIST
CARBAMYL CHLORIDE,463-72-9,CH2ClNO,,DIPPR
ISOPHTHALIC ACID,121-91-5,C8H6O4,,DIPPR
MELAMINE,108-78-1,C3H6N6,,DIPPR
"N,9-dimethyl-9H-purin-2-amine",'90523-63-0,C7H9N5,671.634,NIST
N-NITROSODIETHANOLAMINE,1116-54-7,C4H10N2O3,,DIPPR
N-cyanoguanidine,'461-58-5,C2H4N4,,DIPPR
"PIPERAZINE-2,5-DIONE",106-57-0,C4H6N2O2,,DIPPR
SUCROSE,57-50-1,C12H22O11,,DIPPR
TETRANITROMETHANE,509-14-8,CN4O8,,DIPPR
beta-CHOLESTEROL,57-88-5,C27H46O,,DIPPR
"(2,6-dimethyl-4-(2-methylpropyl)heptan-4-yl)cyclohexane",'102181-12-4,C19H38,577.633,NIST
(henicosan-11-yl)cyclohexane,'6703-99-7,C27H54,681.435,NIST
"1,1'-(pentane-1,5-diylbis(oxy))bis(4-bromobenzene)",'117499-24-8,C17H18Br2O2,692.423,NIST
1-bromotetracosane,'6946-24-3,C24H49Br,694.35,NIST
1-iodoicosane,'34994-81-5,C20H41I,681.958,NIST
9-phenylxanthen-9-ol,'596-38-3,C19H14O2,401.939,NIST
BENZO[b]FLUORANTHENE,205-99-2,C20H12,,DIPPR
N-dodecyl-N-ethyldodecan-1-amine,'7736-46-1,C26H55N,698.169,NIST
QUATERPHENYL,1166-18-3,C24H18,,DIPPR
TRIETHYLENE GLYCOL BIS(2-ETHYLHEXANOATE),94-28-0,C22H42O6,,DIPPR
"(2R,3R,5R,6R,7R)-2,3,5,6-tetrachloro-7-(chloromethyl)-1,7-bis(dichloromethyl)bicyclo(2.2.1)heptane",'66860-80-8,C10H9Cl9,692.662,NIST
"(2R,3R,5R,6S,7S)-2,3,5,6-tetrachloro-7-(chloromethyl)-1,7-bis(dichloromethyl)bicyclo(2.2.1)heptane",'151214-79-8,C10H9Cl9,696.165,NIST
"(6E)-2,2,3-trichloro-6-(chloromethylidene)-5,5-bis(dichloromethyl)bicyclo(2.2.1)heptane",'165820-14-4,C10H8Cl8,657.94,NIST
"1,2,3,4-tetraiodobuta-1,3-diene",'859940-15-1,C4H2I4,645.878,NIST
"1,2-bis(bromomethyl)-3,4,5,6-tetrachlorobenzene",'54117-67-8,C8H4Br2Cl4,639.657,NIST
"1,2-dibromo-4-(4-bromophenoxy)benzene",'147217-80-9,C12H7Br3O,667.448,NIST
"1,3,5-tribromo-2-phenoxybenzene",'155999-95-4,C12H7Br3O,659.867,NIST
"4-hydroxy-3,5-diiodobenzonitrile",'1689-83-4,C7H3I2NO,690.08,NIST
alpha-chlordane,'5103-71-9,C10H6Cl8,663.332,NIST
bromo(triiodo)methane,'558-16-7,CBrI3,557.933,NIST
dibromo(diiodo)methane,'14059-90-6,CBr2I2,528.258,NIST
diiodoethyne,'624-74-8,C2I2,520.015,NIST
"(S)-2-acetamido-N,4-dimethylpentanamide",'32483-15-1,C9H18N2O2,684.382,NIST
"2,2',2''-NITRILOTRIS-ACETONITRILE",7327-60-8,C6H6N4,,DIPPR
2-acetamido-N-methylbutanamide,'35023-27-9,C7H14N2O2,672.222,NIST
"2-methyldeca-3,5-diyn-2-ol",'64290-43-3,C11H16O,530.255,NIST
"2-methylocta-3,5-diyn-2-ol",'90534-09-1,C9H12O,497.561,NIST
BIS(CYANOETHYL)ETHER,1656-48-0,C6H8N2O,,DIPPR
CYANOGEN,460-19-5,C2N2,,DIPPR
N-METHYLFORMAMIDE,123-39-7,C2H5NO,,DIPPR
N-METHYLTHIOPYRROLIDONE,10441-57-3,C5H9NS,,DIPPR
N^1-methylmalonamide,'87996-46-1,C4H8N2O2,679.115,NIST
PHOSGENE,75-44-5,CCl2O,,DIPPR
bis(3-methylbutyl)but-2-ynedioate,'80238-87-5,C14H22O4,567.34,NIST
"but-3-yne-1,1,1-tricarbonitrile",'10359-26-9,C7H3N3,642.572,NIST
